Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
194,Alan Franco,ec ECU,"MF,DF",Atlético Mineiro,27-287,1998,15,15,"1,304",14.5,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
195,Alan Franco,ar ARG,DF,São Paulo,29-236,1996,13,13,"1,073",11.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
196,Lucas Freitas,br BRA,DF,Vasco da Gama,25-135,2001,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Marlon Freitas,br BRA,MF,Palmeiras,31-069,1995,17,17,"1,484",16.5,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches
198,Riquelme Freitas,br BRA,MF,Grêmio,19-295,2006,2,0,40,0.4,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
199,Juan Freytes,ar ARG,DF,Fluminense,26-144,2000,15,15,"1,350",15,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
200,Adonis Frías,ar ARG,DF,Santos,28-079,1998,8,8,675,7.5,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Bruno Fuchs,br BRA,DF,Palmeiras,27-064,1999,7,5,507,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
202,Gabriel,br BRA,DF,Bahia,25-029,2001,6,5,429,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
203,Gabriel,br BRA,MF,Mirassol,32-259,1993,7,2,254,2.8,0,1,1,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
204,Gabriel,br BRA,GK,Vitória,33-250,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Gabriel,br BRA,MF,RB Bragantino,33-329,1992,16,16,"1,187",13.2,2,0,2,2,0,0,5,0,0.15,0,0.15,0.15,0.15,Matches
206,Pedro Gabriel,br BRA,"DF,MF",Grêmio,18-363,2007,9,9,704,7.8,0,1,1,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
207,Rhuan Gabriel,br BRA,MF,Cruzeiro,20-118,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Victor Gabriel,br BRA,DF,Internacional,22-037,2004,15,13,"1,176",13.1,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
209,Antonio Galeano,py PAR,MF,Mirassol,26-074,2000,11,2,292,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
210,Ganso,br BRA,MF,Fluminense,36-235,1989,12,2,338,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
211,Maurício Garcez,br BRA,FW,Chapecoense,29-080,1997,8,3,436,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Rodrigo Garro,ar ARG,"MF,FW",Corinthians,28-151,1998,18,14,"1,221",13.6,2,6,8,2,0,0,3,0,0.15,0.44,0.59,0.15,0.59,Matches
213,Gerson,br BRA,MF,Cruzeiro,29-015,1997,17,17,"1,347",15,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
214,Agustín Giay,ar ARG,DF,Palmeiras,22-139,2004,15,11,"1,008",11.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
215,Gilberto,br BRA,DF,Bahia,33-089,1993,7,5,488,5.4,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
216,Gilberto,br BRA,MF,Athletico Paranaense,21-069,2005,5,3,267,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Bruno Gomes,br BRA,DF,Internacional,25-061,2001,18,17,"1,434",15.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
218,Davi Gomes,br BRA,FW,RB Bragantino,20-363,2005,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Igor Gomes,br BRA,MF,Atlético Mineiro,27-079,1999,5,2,231,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
220,Andrés Gómez,co COL,MF,Vasco da Gama,23-265,2002,16,15,"1,321",14.7,3,1,4,3,0,0,6,0,0.2,0.07,0.27,0.2,0.27,Matches
221,Gustavo Gómez,py PAR,DF,Palmeiras,33-029,1993,16,16,"1,429",15.9,3,0,3,3,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
222,Román Gómez,ar ARG,DF,Bahia,21-325,2004,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
