Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
429,Sinan Osmanoğlu,tr TUR,DF,Gençlerbirliği,35,1990,7,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
430,Berkay Özcan,tr TUR,MF,Fatih Karagümrük,27,1998,33,26,"2,368",26.3,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
431,Yasin Özcan,tr TUR,DF,Beşiktaş,19,2006,2,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Ogün Özçiçek,,MF,Gaziantep FK,26,1999,21,13,"1,173",13,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
433,Berat Özdemir,tr TUR,"MF,DF",Başakşehir,27,1998,17,10,918,10.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
434,Yusuf Özdemir,tr TUR,MF,Alanyaspor,24,2001,11,10,906,10.1,1,1,2,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,Matches
435,Berke Özer,tr TUR,GK,Eyüpspor,25,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
436,Serhat Öztaşdelen,,GK,Kocaelispor,20,2004,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Bahadır Öztürk,tr TUR,DF,Antalyaspor,29,1995,9,4,344,3.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
438,Arda Özyar,,FW,Kocaelispor,18,2007,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
439,Bedirhan Özyurt,,DF,Eyüpspor,22,2003,12,11,907,10.1,0,1,1,0,0,0,2,2,0,0.1,0.1,0,0.1,Matches
440,Kenneth Paal,sr SUR,"DF,MF",Antalyaspor,28,1997,34,32,"2,880",32,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
441,Mithat Pala,tr TUR,"DF,MF",Rizespor,24,2000,30,21,"1,949",21.7,2,0,2,2,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
442,Giannis Papanikolaou,gr GRE,MF,Rizespor,26,1998,30,22,"1,835",20.4,1,0,1,1,0,0,6,1,0.05,0,0.05,0.05,0.05,Matches
443,Gabriel Paulista,br BRA,DF,Beşiktaş,34,1990,10,10,863,9.6,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
