Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
207,Léo Leroy,fr FRA,MF,Basel,25,2000,35,32,"2,695",29.9,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matches
208,Karlo Letica,hr CRO,GK,Lausanne-Sport,28,1997,37,37,"3,330",37,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
209,Calixte Ligue,ch SUI,DF,Zürich,20,2005,9,5,407,4.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
210,Rodolfo Lippo,fi FIN,DF,Lausanne-Sport,21,2004,2,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Adrien Llukes,ch SUI,MF,Sion,17,2008,7,0,76,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
212,Thomas Lopes,es ESP,MF,Servette FC,18,2007,14,7,651,7.2,4,2,6,4,0,0,1,0,0.55,0.28,0.83,0.55,0.83,Matches
213,Pascal Loretz,ch SUI,GK,Luzern,22,2003,38,38,"3,420",38,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
214,Lars Lukas Mai,de GER,DF,Lugano,25,2000,34,31,"2,691",29.9,0,1,1,0,0,0,6,0,0,0.03,0.03,0,0.03,Matches
215,Josias Lukembila,ch SUI,MF,Sion,25,1999,34,16,"1,418",15.8,4,1,5,4,0,0,4,0,0.25,0.06,0.32,0.25,0.32,Matches
216,Loïc Lüthi,ch SUI,DF,FC Winterthur,21,2003,10,10,834,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Théo Magnin,ch SUI,DF,Servette FC,21,2003,10,8,636,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
218,Hicham Mahou,fr FRA,"MF,DF",Lugano,26,1999,22,10,981,10.9,1,2,3,1,0,0,4,0,0.09,0.18,0.28,0.09,0.28,Matches
219,Leandro Maksutaj,xk KVX,"MF,FW",FC Winterthur,18,2007,10,2,231,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Darian Males,ch SUI,MF,Young Boys,24,2001,30,12,"1,150",12.8,7,2,9,7,0,0,1,0,0.55,0.16,0.7,0.55,0.7,Matches
221,Joël Mall,cy CYP,GK,Servette FC,34,1991,28,27,"2,427",27,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
222,Elias Maluvunu,ch SUI,"MF,FW",FC Winterthur,20,2004,28,5,944,10.5,3,2,5,3,0,0,3,0,0.29,0.19,0.48,0.29,0.48,Matches
223,Olivier Mambwa,ch SUI,DF,Young Boys,16,2008,7,5,352,3.9,0,1,1,0,0,0,1,1,0,0.26,0.26,0,0.26,Matches
224,Matteo Mantini,it ITA,"MF,DF",Grasshopper,17,2007,13,6,616,6.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
225,Jahnoah Markelo,sr SUR,"FW,MF",Zürich,22,2003,14,11,945,10.5,2,3,5,1,1,1,3,1,0.19,0.29,0.48,0.1,0.38,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Martim Marques,pt POR,"DF,MF",Lugano,21,2004,23,19,"1,566",17.4,1,2,3,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,Matches
227,Samuel Marques,ch SUI,"MF,DF",Grasshopper,20,2005,25,16,"1,298",14.4,1,3,4,1,0,0,4,1,0.07,0.21,0.28,0.07,0.28,Matches
228,Ilija Maslarov,mk MKD,MF,Lugano,18,2007,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
229,Valmir Matoshi,xk KVX,MF,Thun,22,2003,34,20,"1,606",17.8,6,4,10,6,0,0,7,1,0.34,0.22,0.56,0.34,0.56,Matches
230,Cyrill May,ch SUI,DF,St. Gallen,18,2007,17,17,"1,468",16.3,0,1,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
231,Bradley Mazikou,cg CGO,DF,Servette FC,29,1996,32,28,"2,452",27.2,0,4,4,0,0,0,8,1,0,0.15,0.15,0,0.15,Matches
232,Franz-Ethan Meichtry,ch SUI,MF,Thun,20,2005,35,23,"1,767",19.6,8,3,11,8,0,0,8,0,0.41,0.15,0.56,0.41,0.56,Matches
233,Houboulang Mendes,gw GNB,"DF,MF",Servette FC,27,1998,16,10,978,10.9,0,3,3,0,0,0,5,0,0,0.28,0.28,0,0.28,Matches
234,Bung Meng Freimann,ch SUI,DF,Luzern,19,2005,33,33,"2,752",30.6,3,0,3,3,0,0,6,2,0.1,0,0.1,0.1,0.1,Matches
235,Metinho,br BRA,MF,Basel,22,2003,29,27,"2,257",25.1,4,0,4,4,0,0,7,0,0.16,0,0.16,0.16,0.16,Matches
236,Sascha Meyer,ch SUI,FW,Luzern,19,2006,4,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
237,Tim Meyer,ch SUI,MF,Grasshopper,21,2004,29,23,"1,979",22,1,1,2,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,Matches
238,Mardochee Miguel,ch SUI,MF,Servette FC,18,2007,7,2,161,1.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
239,Luka Mikulić,ba BIH,DF,Grasshopper,20,2005,15,11,"1,072",11.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
240,Anton Miranchuk,ru RUS,MF,Sion,29,1995,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Florent Mollet,fr FRA,"MF,FW",Lausanne-Sport,33,1991,23,13,"1,183",13.1,2,1,3,2,0,0,4,0,0.15,0.08,0.23,0.15,0.23,Matches
242,Francis Momoh,ng NGA,MF,FC Winterthur,24,2001,11,1,232,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
243,Joel Monteiro,ch SUI,MF,Young Boys,25,1999,31,24,"2,019",22.4,4,3,7,4,0,0,6,0,0.18,0.13,0.31,0.18,0.31,Matches
244,Genís Montolio,es ESP,DF,Thun,29,1996,28,21,"1,848",20.5,4,1,5,4,0,0,3,1,0.19,0.05,0.24,0.19,0.24,Matches
245,Julian von Moos,ch SUI,"FW,MF",Luzern,24,2001,23,21,"1,481",16.5,4,3,7,4,0,0,2,0,0.24,0.18,0.43,0.24,0.43,Matches
246,Giotto Morandi,ch SUI,MF,Servette FC,26,1999,16,6,498,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
247,Kevin Mouanga,cg CGO,DF,Lausanne-Sport,25,2000,36,34,"3,056",34,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,Matches
248,Samuel Mráz,sk SVK,FW,Servette FC,28,1997,35,12,"1,207",13.4,10,2,12,10,0,0,0,0,0.75,0.15,0.89,0.75,0.89,Matches
249,Nikolas Muci,ch SUI,FW,Grasshopper,22,2003,19,11,971,10.8,3,1,4,1,2,2,3,0,0.28,0.09,0.37,0.09,0.19,Matches
250,Lukas Mühl,de GER,DF,FC Winterthur,28,1997,15,12,"1,060",11.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Souleymane N'Diaye,ch SUI,MF,Lausanne-Sport,19,2005,7,1,154,1.7,0,1,1,0,0,0,3,1,0,0.58,0.58,0,0.58,Matches
252,Behar Neziri,xk KVX,"MF,DF",St. Gallen,22,2003,17,17,"1,528",17,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
253,Dircssi Ngonzo,ch SUI,DF,Lausanne-Sport,20,2005,4,2,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Rilind Nivokazi,xk KVX,FW,Sion,25,2000,37,37,"2,780",30.9,13,5,18,13,0,1,4,0,0.42,0.16,0.58,0.42,0.58,Matches
255,Lilian Njoh,cm CMR,"DF,MF",Servette FC,23,2001,37,29,"2,579",28.7,1,9,10,1,0,0,0,0,0.03,0.31,0.35,0.03,0.35,Matches
256,Vincent Nvendo Ferrier,ch SUI,FW,Zürich,22,2003,5,0,32,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
257,Damien Odera,ke KEN,FW,Zürich,18,2007,4,0,67,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
258,Isaiah Okafor,ch SUI,DF,Zürich,20,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Tobias Okafor,ch SUI,DF,FC Winterthur,18,2006,2,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
260,Bryan Okoh,ch SUI,"DF,MF",Lausanne-Sport,22,2003,16,9,968,10.8,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
