Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
307,Michail Panagidis,gr GRE,MF,Aris,21,2004,8,3,278,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
308,Epaminondas Pantelakis,gr GRE,DF,Larissa,30,1995,15,14,"1,162",12.9,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
309,Pavlos Pantelidis,gr GRE,MF,Panathinaikos,22,2002,8,5,392,4.4,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
310,Pavlos Pantelidis,gr GRE,MF,AE Kifisia,22,2002,13,12,999,11.1,7,1,8,7,0,0,5,1,0.63,0.09,0.72,0.63,0.72,Matches
311,Miloš Pantović,rs SRB,"FW,MF",Panathinaikos,22,2002,20,3,480,5.3,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,Matches
312,Christos Papadopoulos,gr GRE,MF,Levadiakos,20,2004,5,0,54,0.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
313,Georgios Papadopoulos,gr GRE,"DF,MF",Atromitos,22,2002,12,6,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
314,Nikos Papadopoulos,gr GRE,GK,Asteras Tripoli,35,1990,29,29,"2,610",29,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
315,Athanasios Papageorgiou,gr GRE,DF,Larissa,38,1987,11,8,818,9.1,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
316,Athanasios Papathanasiou-Gerofokas,gr GRE,GK,Volos N.F.C.,19,2006,3,1,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Michalis Pardalos,gr GRE,GK,Panetolikos,24,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Giannis Pasas,gr GRE,FW,Larissa,34,1990,27,14,"1,245",13.8,5,1,6,2,3,3,2,1,0.36,0.07,0.43,0.14,0.22,Matches
319,Michalis Patiras,gr GRE,MF,AE Kifisia,21,2004,3,1,130,1.4,0,2,2,0,0,0,0,0,0,1.38,1.38,0,1.38,Matches
320,Jiří Pavlenka,cz CZE,GK,PAOK,33,1992,20,20,"1,670",18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Fabricio Pedrozo,ar ARG,"FW,MF",Levadiakos,32,1992,30,14,"1,413",15.7,13,0,13,11,2,2,5,0,0.83,0,0.83,0.7,0.7,Matches
322,Dimitris Pelkas,gr GRE,"MF,FW",PAOK,31,1993,14,7,542,6,4,2,6,4,0,0,1,0,0.66,0.33,1,0.66,1,Matches
323,Facundo Pellistri,uy URU,MF,Panathinaikos,23,2001,8,3,321,3.6,0,2,2,0,0,0,0,0,0,0.56,0.56,0,0.56,Matches
