Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
74,Pule Ekstein,za RSA,"FW,MF",AmaZulu,35-154,1991,27,24,"1,873",20.8,5,3,8,4,1,1,0,0,0.24,0.14,0.38,0.19,0.34,Matches
75,Kazie Enyinaya,ng NGA,DF,Stellenbosch FC,27-053,1999,25,25,"2,097",23.3,1,2,3,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Evanga,cm CMR,FW,Chippa United,33-107,1993,17,5,724,8,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
77,Tshanini Falakhe,za RSA,DF,Maritzburg United,30-108,1996,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Oumar Farouk Komara,ci CIV,DF,Lamontville Golden Arrows,25-197,2000,18,14,"1,362",15.1,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
79,Taariq Fielies,za RSA,DF,AmaZulu,33-348,1992,29,28,"2,532",28.1,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
80,Justice Figareido,sz SWZ,"MF,FW",Chippa United,27-311,1998,26,19,"1,850",20.6,2,5,7,2,0,0,1,0,0.1,0.24,0.34,0.1,0.34,Matches
81,Patrick Fisher,za RSA,DF,TS Galaxy,23-230,2002,13,7,733,8.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
82,Reeve Frosler,za RSA,"DF,MF",Kaizer Chiefs,28-144,1998,10,5,583,6.5,0,3,3,0,0,0,1,0,0,0.46,0.46,0,0.46,Matches
83,Banele Gama,,MF,Magesi FC,,,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Ruzaigh Gamildien,za RSA,FW,Chippa United,37-061,1989,4,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Lefa Ganabo,,,Orbit College,,,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Nhlanhla Gasa,za RSA,"MF,FW",Lamontville Golden Arrows,20-132,2006,13,5,634,7,1,2,3,1,0,0,0,0,0.14,0.28,0.43,0.14,0.43,Matches
87,Fezile Gcaba,za RSA,DF,Maritzburg United,27-093,1999,22,19,"1,717",19.1,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
88,Sedwyn George,za RSA,FW,TS Galaxy,34-280,1991,9,6,462,5.1,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
89,Taahir Goedeman,za RSA,MF,Maritzburg United,26-181,1999,6,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Ricardo Goss,za RSA,GK,Siwelele,32-063,1994,29,29,"2,610",29,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
91,Bradley Grobler,za RSA,FW,Sekhukhune United FC,38-130,1988,20,18,"1,486",16.5,8,2,10,7,1,2,3,1,0.48,0.12,0.61,0.42,0.55,Matches
92,Sazi Gumbi,za RSA,MF,Lamontville Golden Arrows,25-194,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Thulani Gumede,,"MF,FW",Richards Bay FC,,,18,15,"1,284",14.3,2,3,5,2,0,0,0,0,0.14,0.21,0.35,0.14,0.35,Matches
94,Riaan Hanamub,na NAM,"MF,DF",AmaZulu,31-116,1995,28,28,"2,519",28,1,2,3,1,0,0,1,1,0.04,0.07,0.11,0.04,0.11,Matches
95,Amer Haroon,za RSA,MF,Magesi FC,33-281,1992,2,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Siyanda Hlangabeza,za RSA,MF,AmaZulu,23-263,2002,22,19,"1,538",17.1,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
97,Naledi Hlongwane,za RSA,FW,Kaizer Chiefs,21-007,2005,2,2,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Banele Hlophe,za RSA,MF,Chippa United,25-094,2001,6,2,257,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Deon Hotto,na NAM,DF,Orlando Pirates,35-218,1990,24,20,"1,775",19.7,1,8,9,1,0,0,1,0,0.05,0.41,0.46,0.05,0.46,Matches
100,Fasika Idumba,cd COD,DF,Chippa United,27-096,1999,12,12,"1,068",11.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Etiosa Ighodaro,ng NGA,FW,Kaizer Chiefs,24-347,2001,4,3,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Eliezer Ira,ci CIV,GK,TS Galaxy,28-277,1997,28,28,"2,520",28,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
103,Ibraheem Jabaar,ng NGA,MF,Stellenbosch FC,23-223,2002,16,10,940,10.4,1,2,3,1,0,1,2,0,0.1,0.19,0.29,0.1,0.29,Matches
104,Emmanuel Jalai,zw ZIM,"DF,MF",Maritzburg United,27-149,1999,15,13,"1,171",13,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
105,Doudy James,za RSA,DF,Marumo Gallants FC,26-017,2000,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Sphesihle Jeza,,MF,Siwelele,,,7,6,545,6.1,3,3,6,3,0,0,0,0,0.5,0.5,0.99,0.5,0.99,Matches
107,Thulani Jingana,,DF,Orbit College,,,18,18,"1,606",17.8,0,1,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
108,Ayanda Jiyane,za RSA,DF,Lamontville Golden Arrows,23-261,2002,28,27,"2,355",26.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Athini Jodwana,za RSA,MF,Maritzburg United,32-212,1993,20,17,"1,525",16.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
110,Kegan Johannes,za RSA,DF,Mamelodi Sundowns,25-065,2001,8,5,562,6.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
111,Darren Johnson,za RSA,GK,AmaZulu,29-102,1997,17,17,"1,431",15.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
112,Andre de Jong,nz NZL,MF,Orlando Pirates,29-214,1996,9,2,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Andre de Jong,nz NZL,"MF,FW",Stellenbosch FC,29-214,1996,14,9,798,8.9,2,1,3,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,Matches
114,Wayde Jooste,za RSA,"MF,DF",Stellenbosch FC,33-250,1992,7,3,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Sédé Junior Dion,td CHA,FW,Lamontville Golden Arrows,32-154,1994,27,25,"2,035",22.6,14,0,14,13,1,2,3,0,0.62,0,0.62,0.57,0.57,Matches
116,Kyle Jurgens,za RSA,MF,Maritzburg United,22-247,2003,27,26,"2,177",24.2,0,1,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches
117,Tshepo Kakora,za RSA,MF,Magesi FC,28-101,1998,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Tshepo Kakora,za RSA,"MF,DF",TS Galaxy,28-101,1998,11,8,665,7.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
119,Joslin Kamatuka,na NAM,"FW,MF",Maritzburg United,34-317,1991,19,7,731,8.1,2,0,2,2,0,1,3,0,0.25,0,0.25,0.25,0.25,Matches
