,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
83,Tiago Codinha,ca CAN,MF,Volendam,20,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Nolhan Courtens,be BEL,FW,Heerenveen,18,2006,5,0,56,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
85,Gonzalo Crettaz,ar ARG,GK,NEC Nijmegen,25,2000,31,31,"2,790",31,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
86,Vito van Crooij,nl NED,MF,NEC Nijmegen,29,1996,8,2,255,2.8,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
87,Vito van Crooij,nl NED,MF,Sparta Rotterdam,29,1996,10,9,747,8.3,0,1,1,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
88,Robin van Cruijsen,,MF,Volendam,,,24,16,"1,349",15,4,3,7,4,0,0,5,0,0.27,0.2,0.47,0.27,0.47,Matches
89,Ro-Zangelo Daal,nl NED,"MF,FW",AZ Alkmaar,21,2004,24,18,"1,348",15,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
90,Jasper Dahlhaus,nl NED,DF,Fortuna Sittard,23,2001,26,25,"2,115",23.5,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
91,Danilo,br BRA,FW,NEC Nijmegen,26,1999,11,1,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches
92,Brynjolfur Darri Willumsson,is ISL,FW,Groningen,24,2000,27,12,"1,217",13.5,6,0,6,6,0,0,2,0,0.44,0,0.44,0.44,0.44,Matches
93,Eli Dasa,il ISR,DF,NEC Nijmegen,32,1992,22,21,"1,811",20.1,1,0,1,1,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
94,Jari De Busser,be BEL,GK,Go Ahead Eagles,25,1999,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Mats Deijl,nl NED,DF,Feyenoord,28,1997,14,13,"1,146",12.7,0,2,2,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
96,Mats Deijl,nl NED,DF,Go Ahead Eagles,28,1997,19,19,"1,665",18.5,1,3,4,0,1,2,3,0,0.05,0.16,0.22,0,0.16,Matches
97,Maxim Dekker,nl NED,DF,AZ Alkmaar,21,2004,6,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Emirhan Demircan,tr TUR,FW,Utrecht,20,2005,6,0,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Thomas van den Belt,nl NED,MF,Twente,24,2001,32,27,"2,178",24.2,5,1,6,5,0,0,5,0,0.21,0.04,0.25,0.21,0.25,Matches
100,Joël van den Berg,nl NED,MF,PSV,18,2007,5,1,142,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Damian van der Haar,nl NED,DF,Zwolle,21,2004,3,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
102,Mike van der Hoorn,nl NED,DF,Utrecht,32,1992,29,26,"2,200",24.4,2,0,2,2,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
103,Djevencio van der Kust,sr SUR,"DF,MF",Heracles Almelo,24,2001,21,13,"1,211",13.5,0,2,2,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
104,David van der Werff,nl NED,MF,Groningen,20,2004,34,26,"2,048",22.8,3,2,5,3,0,0,2,0,0.13,0.09,0.22,0.13,0.22,Matches
105,Anthony Descotte,be BEL,"MF,FW",Volendam,21,2003,14,9,881,9.8,4,1,5,4,0,0,2,0,0.41,0.1,0.51,0.41,0.51,Matches
106,Sergiño Dest,us USA,DF,PSV,24,2000,27,26,"2,199",24.4,1,5,6,1,0,0,5,0,0.04,0.2,0.25,0.04,0.25,Matches
107,Gaoussou Diarra,ml MLI,"MF,FW",Feyenoord,22,2002,6,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Matisse Didden,be BEL,DF,Utrecht,23,2001,24,21,"1,888",21,2,0,2,2,0,0,5,1,0.1,0,0.1,0.1,0.1,Matches
109,Elijah Dijkstra,nl NED,"DF,MF",AZ Alkmaar,18,2006,20,13,"1,268",14.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
110,Jismerai Dillema,nl NED,MF,Groningen,18,2007,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
