,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
64,Graham Carey,ie IRL,"MF,FW",Livingston,36,1989,7,2,165,1.8,1,1,2,0,1,1,1,0,0.55,0.55,1.09,0,0.55,Matches
65,Cameron Carter-Vickers,us USA,DF,Celtic,27,1997,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
66,Henry Cartwright,eng ENG,MF,Falkirk,20,2004,34,11,"1,195",13.3,2,0,2,2,0,0,5,0,0.15,0,0.15,0.15,0.15,Matches
67,Miguel Chaiwa,zm ZAM,MF,Hibernian,21,2004,28,22,"1,878",20.9,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
68,Regan Charles-Cook,gd GRN,"MF,FW",Motherwell,28,1997,24,8,816,9.1,0,2,2,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
69,Youssef Chermiti,pt POR,FW,Rangers,21,2004,30,20,"1,973",21.9,15,5,20,15,0,0,4,0,0.68,0.23,0.91,0.68,0.91,Matches
70,Islam Chesnokov,kz KAZ,MF,Hearts,25,1999,10,5,408,4.5,1,0,1,1,0,0,1,0,0.22,0,0.22,0.22,0.22,Matches
71,Tochi Chukwuani,dk DEN,MF,Rangers,22,2003,15,13,"1,017",11.3,2,0,2,2,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
72,Zander Clark,sct SCO,GK,Hearts,33,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Leighton Clarkson,eng ENG,MF,Aberdeen,23,2001,13,3,455,5.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
74,Nicky Clescenco,md MDA,"FW,MF",Kilmarnock,24,2001,5,4,244,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
75,Cameron Congreve,wls WAL,"MF,FW",Dundee,21,2004,34,31,"2,576",28.6,3,6,9,3,0,0,3,0,0.1,0.21,0.31,0.1,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Matty Connolly,sct SCO,GK,Motherwell,22,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Scott Constable,sct SCO,MF,Dundee United,17,2007,2,0,33,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
78,Derek Cornelius,ca CAN,DF,Rangers,27,1997,7,6,557,6.2,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
