,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
54,Matěj Chaluš,cz CZE,DF,Baník Ostrava,27,1998,25,24,"2,163",24,0,0,0,0,0,1,9,0,0,0,0,0,0,Matches
55,Muhammed Cham,at AUT,MF,Slavia Prague,24,2000,16,5,554,6.2,0,2,2,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
56,Vakhtang Chanturishvili,ge GEO,MF,Jablonec,31,1993,32,32,"2,795",31.1,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,Matches
57,Tomáš Chorý,cz CZE,FW,Slavia Prague,30,1995,24,23,"1,896",21.1,17,5,22,11,6,6,3,3,0.81,0.24,1.04,0.52,0.76,Matches
58,Jan Chramosta,cz CZE,"FW,MF",Jablonec,34,1990,30,21,"1,501",16.7,10,2,12,6,4,4,2,0,0.6,0.12,0.72,0.36,0.48,Matches
59,Juraj Chvátal,sk SVK,"DF,MF",Sigma Olomouc,29,1996,3,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Juraj Chvátal,sk SVK,DF,Hradec Králové,29,1996,4,4,327,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
61,Mojmír Chytil,cz CZE,"FW,MF",Slavia Prague,26,1999,29,15,"1,498",16.6,13,1,14,10,3,3,0,0,0.78,0.06,0.84,0.6,0.66,Matches
62,Jan Chytrý,cz CZE,"DF,MF",Karviná,21,2004,20,12,"1,127",12.5,0,1,1,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
63,Filip Čihák,cz CZE,DF,Hradec Králové,26,1999,25,24,"2,059",22.9,0,1,1,0,0,0,6,1,0,0.04,0.04,0,0.04,Matches
64,Lukáš Čmelík,sk SVK,"FW,MF",Hradec Králové,29,1996,2,0,50,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
65,Elias Cobbaut,be BEL,DF,Sparta Prague,27,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Ousmane Condé,ci CIV,"MF,FW",Karviná,20,2004,23,6,708,7.9,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
67,Michal Cupák,,MF,Fastav Zlín,27,1998,34,31,"2,811",31.2,7,3,10,7,0,0,3,0,0.22,0.1,0.32,0.22,0.32,Matches
68,Samuel Dancák,sk SVK,MF,Hradec Králové,27,1998,29,24,"2,100",23.3,0,3,3,0,0,0,5,0,0,0.13,0.13,0,0.13,Matches
69,Vlastimil Daníček,cz CZE,"MF,DF",Slovácko,34,1991,23,23,"1,760",19.6,1,1,2,1,0,1,5,0,0.05,0.05,0.1,0.05,0.1,Matches
70,Daniel Danihel,sk SVK,"DF,MF",Teplice,19,2005,9,8,594,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
71,Vladimír Darida,cz CZE,MF,Hradec Králové,34,1990,32,32,"2,764",30.7,11,4,15,9,2,2,2,0,0.36,0.13,0.49,0.29,0.42,Matches
72,Denis Darmovzal,,MF,FK Pardubice,25,2000,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Toumani Diakité,,MF,Slovan Liberec,,,21,20,"1,625",18.1,2,0,2,2,0,0,4,1,0.11,0,0.11,0.11,0.11,Matches
74,Boubou Diallo,ml MLI,FW,Dukla Prague,21,2003,11,3,422,4.7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
75,Joss Didiba,cm CMR,"MF,DF",Fastav Zlín,27,1997,32,29,"2,300",25.6,0,2,2,0,0,0,6,0,0,0.08,0.08,0,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Artūr Dolžnikov,lt LTU,MF,Sigma Olomouc,25,2000,11,7,529,5.9,1,1,2,1,0,0,2,1,0.17,0.17,0.34,0.17,0.34,Matches
77,Denis Donat,cz CZE,"DF,MF",Mladá Boleslav,23,2001,17,9,935,10.4,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
78,Oscar Dorley,lr LBR,MF,Slavia Prague,27,1998,22,16,"1,324",14.7,1,1,2,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,Matches
79,Filip Dorňák,,MF,Fastav Zlín,19,2006,1,0,23,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
80,Merchas Doski,iq IRQ,"DF,MF",Viktoria Plzeň,25,1999,30,22,"2,043",22.7,1,0,1,1,0,0,6,1,0.04,0,0.04,0.04,0.04,Matches
81,Stanislav Dostál,cz CZE,GK,Fastav Zlín,34,1991,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,David Doudera,cz CZE,"MF,DF",Slavia Prague,27,1998,22,18,"1,494",16.6,1,4,5,1,0,0,6,1,0.06,0.24,0.3,0.06,0.3,Matches
83,Augustin Drakpe,tg TOG,DF,Slovan Liberec,23,2001,9,9,727,8.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
84,Václav Drchal,cz CZE,"MF,FW",Bohemians 1905,26,1999,29,18,"1,682",18.7,2,1,3,2,0,0,2,0,0.11,0.05,0.16,0.11,0.16,Matches
85,Šimon Drozd,cz CZE,FW,Baník Ostrava,18,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Patrik Dulay,sk SVK,MF,Slovan Liberec,20,2005,18,11,862,9.6,1,0,1,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
87,Andres Dumitrescu,ro ROU,DF,Sigma Olomouc,24,2001,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Rafiu Durosinmi,ng NGA,FW,Viktoria Plzeň,22,2003,18,13,"1,217",13.5,7,0,7,7,0,2,3,0,0.52,0,0.52,0.52,0.52,Matches
89,Sampson Dweh Jr.,lr LBR,DF,Viktoria Plzeň,23,2001,27,23,"2,215",24.6,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
90,Jakub Elbel,,DF,Sigma Olomouc,25,2000,7,5,474,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
91,Jakub Elbel,,DF,Hradec Králové,25,2000,11,9,803,8.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Chinonso Emeka,ng NGA,FW,Dukla Prague,23,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Santiago Eneme,gq EQG,MF,Sparta Prague,24,2000,19,6,657,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
94,Lucky Ezeh,ng NGA,FW,Karviná,21,2004,28,11,"1,087",12.1,3,2,5,3,0,0,1,0,0.25,0.17,0.41,0.25,0.41,Matches
95,Salim Fago,ng NGA,"FW,MF",Viktoria Plzeň,22,2003,7,5,306,3.4,2,0,2,2,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches
96,Elione Fernandes Neto,de GER,MF,Hradec Králové,19,2005,11,3,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Adrian Fiala,sk SVK,FW,Slovácko,20,2005,3,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Jan Fiala,,MF,Karviná,24,2001,15,4,554,6.2,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches
