,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
152,Yuri Casermeiro,ar ARG,DF,Cen. Córdoba–SdE,24-084,2002,8,5,528,5.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
153,Kevin Castaño,co COL,MF,River Plate,25-248,2000,5,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Rodrigo Castillo,ar ARG,FW,Lanús,27-098,1999,5,4,358,4,1,3,4,1,0,0,0,0,0.25,0.75,1.01,0.25,1.01,Matches
155,Alexis Castro,ar ARG,MF,Estudiantes–LP,31-229,1994,14,7,605,6.7,3,0,3,3,0,0,2,0,0.45,0,0.45,0.45,0.45,Matches
156,Lucas Castro,ar ARG,MF,Gimnasia–LP,37-056,1989,11,3,295,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Matías Catalán,cl CHI,DF,Talleres–C,33-289,1992,16,15,"1,278",14.2,0,2,2,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
158,Edinson Cavani,uy URU,FW,Boca Juniors,39-110,1987,2,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Julián Ceballos,ar ARG,MF,Gimnasia–M,21-264,2004,8,5,427,4.7,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
160,Giuliano Cerato,ar ARG,"MF,DF",Instituto,27-359,1998,16,16,"1,425",15.8,2,1,3,2,0,0,4,0,0.13,0.06,0.19,0.13,0.19,Matches
161,Ezequiel Cerutti,ar ARG,"MF,FW",San Lorenzo,34-138,1992,7,6,427,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
