player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
C. Adams,CLB,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T. Avilés,MTL,4,3,221,1,0,82,0,1,0,0,0.06,4,1,0,0,1
J. Yueill,NE,7,1,128,6,0,90,0,1,1,1,0.05,4,1,0,0,0
O. Nwobodo,CIN,10,4,372,6,0,78,1,6,1,0,0.63,16,2,1,3,0
L. Mackenzie,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Pompeu,STL,3,1,113,2,0,74,0,4,2,1,0.16,0,2,0,0,0
P. Amador,ATL,7,2,238,5,0,89,1,3,0,5,0.15,4,4,0,0,0
W. Cleary,CLT,2,1,105,1,0,87,1,0,0,1,0,0,0,0,0,0
S. Jimenez,CIN,1,0,2,1,0,100,0,0,0,0,0,2,0,0,0,0
P. Plambeck,MIA,3,0,40,3,0,90,0,1,1,0,0.04,0,0,0,0,0
J. Cohen,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Muse,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Wolff,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Leão,ORL,1,0,6,1,0,50,0,0,0,0,0,0,2,0,0,0
M. Evans,LAFC,1,1,56,0,0,88,1,2,1,1,0.12,1,0,0,1,0
S. Santos,ATL,3,0,32,3,0,71,0,4,1,0,0.56,0,1,0,0,0
M. Arana,HOU,1,0,2,1,0,100,0,0,0,0,0,0,0,0,0,0
J. Bungi,RBNY,2,1,90,1,0,65,0,1,0,0,0.03,3,0,0,1,0
J. Nelson,LA,13,7,795,6,0,84,0,0,0,0,0,1,4,0,0,0
